Mois,all i want for christmas is you: (Dans tous les pays),all i want: (Dans tous les pays),all i want for: (Dans tous les pays)
2004-01,1,15,3
2004-02,< 1,15,1
2004-03,1,16,4
2004-04,< 1,15,3
2004-05,1,15,3
2004-06,1,15,2
2004-07,1,18,2
2004-08,1,13,2
2004-09,1,15,2
2004-10,1,19,4
2004-11,8,33,17
2004-12,26,70,60
2005-01,1,17,4
2005-02,1,16,2
2005-03,1,15,2
2005-04,< 1,15,2
2005-05,< 1,17,3
2005-06,1,17,4
2005-07,< 1,15,2
2005-08,1,15,3
2005-09,< 1,17,3
2005-10,2,18,5
2005-11,9,34,20
2005-12,31,79,65
2006-01,1,17,5
2006-02,1,16,2
2006-03,< 1,14,2
2006-04,< 1,14,2
2006-05,< 1,15,2
2006-06,1,16,2
2006-07,1,15,3
2006-08,< 1,14,3
2006-09,1,13,3
2006-10,1,14,4
2006-11,9,31,19
2006-12,32,75,62
2007-01,1,16,4
2007-02,< 1,16,3
2007-03,< 1,14,2
2007-04,< 1,14,3
2007-05,1,14,3
2007-06,< 1,15,2
2007-07,< 1,16,3
2007-08,1,16,3
2007-09,< 1,16,4
2007-10,1,15,4
2007-11,7,28,16
2007-12,28,72,58
2008-01,1,22,5
2008-02,< 1,20,3
2008-03,< 1,17,3
2008-04,< 1,19,2
2008-05,< 1,20,2
2008-06,< 1,20,2
2008-07,< 1,20,2
2008-08,< 1,22,2
2008-09,1,22,3
2008-10,1,23,4
2008-11,6,34,14
2008-12,26,68,49
2009-01,1,21,5
2009-02,< 1,19,3
2009-03,< 1,19,2
2009-04,< 1,18,2
2009-05,< 1,19,2
2009-06,< 1,17,3
2009-07,< 1,19,2
2009-08,< 1,18,3
2009-09,< 1,17,3
2009-10,2,19,4
2009-11,6,29,13
2009-12,29,66,50
2010-01,1,18,4
2010-02,1,17,2
2010-03,< 1,16,2
2010-04,< 1,17,2
2010-05,< 1,17,2
2010-06,< 1,17,2
2010-07,< 1,20,2
2010-08,< 1,21,2
2010-09,< 1,22,3
2010-10,1,25,4
2010-11,7,35,13
2010-12,32,74,53
2011-01,2,27,5
2011-02,1,23,3
2011-03,1,20,3
2011-04,< 1,21,2
2011-05,< 1,20,2
2011-06,< 1,19,2
2011-07,< 1,20,2
2011-08,< 1,19,2
2011-09,1,19,3
2011-10,2,22,4
2011-11,10,34,16
2011-12,54,100,79
2012-01,5,23,8
2012-02,3,19,6
2012-03,2,19,4
2012-04,1,17,3
2012-05,1,16,2
2012-06,1,16,2
2012-07,1,16,2
2012-08,1,18,4
2012-09,1,19,6
2012-10,2,21,7
2012-11,9,31,17
2012-12,36,70,57
2013-01,2,19,6
2013-02,1,18,3
2013-03,1,17,3
2013-04,1,16,2
2013-05,1,15,3
2013-06,1,15,3
2013-07,< 1,16,2
2013-08,1,15,3
2013-09,1,16,3
2013-10,2,17,4
2013-11,9,27,14
2013-12,39,70,55
2014-01,2,17,5
2014-02,1,15,3
2014-03,1,15,2
2014-04,< 1,16,2
2014-05,< 1,15,2
2014-06,< 1,16,2
2014-07,1,18,2
2014-08,< 1,16,2
2014-09,1,16,3
2014-10,2,18,4
2014-11,9,28,14
2014-12,35,67,52
2015-01,2,18,4
2015-02,1,16,3
2015-03,1,16,2
2015-04,< 1,15,2
2015-05,< 1,16,2
2015-06,1,16,2
2015-07,1,16,2
2015-08,< 1,15,2
2015-09,1,16,3
2015-10,2,17,4
2015-11,8,28,15
2015-12,26,60,47
2016-01,1,19,4
2016-02,1,17,3
2016-03,< 1,16,3
2016-04,< 1,17,3
2016-05,< 1,15,2
2016-06,< 1,16,2
2016-07,< 1,15,3
2016-08,< 1,14,2
2016-09,1,16,3
2016-10,1,17,4
2016-11,6,28,16
2016-12,27,63,50
2017-01,1,18,5
2017-02,< 1,15,3
2017-03,< 1,14,3
2017-04,< 1,15,2
2017-05,< 1,14,2
2017-06,< 1,14,2
2017-07,< 1,15,2
2017-08,< 1,14,2
2017-09,1,15,3
2017-10,1,17,4
2017-11,7,29,16
2017-12,24,59,45
2018-01,1,18,4
2018-02,< 1,16,2
2018-03,< 1,14,2
2018-04,< 1,15,2
2018-05,< 1,15,2
2018-06,< 1,14,2
2018-07,< 1,14,2
2018-08,< 1,14,2
2018-09,1,15,3
2018-10,1,16,4
2018-11,6,28,16
2018-12,20,56,43
2019-01,1,15,4
2019-02,< 1,15,2
2019-03,< 1,16,2
2019-04,< 1,16,2
2019-05,< 1,14,2
2019-06,< 1,14,2
2019-07,< 1,15,2
2019-08,< 1,15,3
2019-09,1,15,3
2019-10,1,17,5
2019-11,9,29,17
2019-12,29,65,49
2020-01,2,22,5
2020-02,1,18,3
2020-03,1,17,3
2020-04,< 1,18,3
2020-05,< 1,17,3
2020-06,< 1,15,3
2020-07,1,15,3
2020-08,< 1,14,3
2020-09,1,15,4
2020-10,1,15,5
2020-11,7,23,14
2020-12,22,49,38
2021-01,2,16,5
2021-02,1,14,3
2021-03,< 1,13,3
2021-04,< 1,13,3
2021-05,< 1,14,3
2021-06,< 1,13,3
2021-07,< 1,13,3
2021-08,1,14,3
2021-09,1,14,4
2021-10,2,15,5
2021-11,7,23,13